iter	RMSE
0	0.1534402166
1	0.1445877912
2	0.1365872852
3	0.1309825874
4	0.1285742399
5	0.1271337386
6	0.1237151274
7	0.1222810092
8	0.1215549117
9	0.1208990214
10	0.1204426314
11	0.1194436636
12	0.1181324295
13	0.1176061507
14	0.1175070735
15	0.117339184
16	0.1170215644
17	0.1162636131
18	0.1155064283
19	0.1154427171
20	0.1153570184
21	0.1150766607
22	0.1134770912
23	0.1119345281
24	0.1118753361
25	0.1115000923
26	0.1110247556
27	0.1109735556
28	0.1109286298
29	0.110747103
30	0.1103096297
31	0.1101628233
32	0.1099444033
33	0.1093264983
34	0.1089107966
35	0.1085561455
36	0.1083652923
37	0.1082230728
38	0.108179571
39	0.1078013162
40	0.1074464668
41	0.107315725
42	0.1072379115
43	0.1062489681
44	0.1062132046
45	0.105904611
46	0.1046242699
47	0.1044118769
48	0.1041977312
49	0.1038953108
