iter	Passed	Remaining
0	16	827
1	42	1010
2	60	949
3	84	971
4	109	984
5	129	952
6	151	929
7	183	964
8	211	965
9	250	1000
10	283	1005
11	310	982
12	340	968
13	373	959
14	396	926
15	432	918
16	459	892
17	496	882
18	522	853
19	543	814
20	569	786
21	606	771
22	640	752
23	676	733
24	710	710
25	746	689
26	772	658
27	791	622
28	816	591
29	837	558
30	873	535
31	909	511
32	947	488
33	969	456
34	991	424
35	1012	393
36	1032	362
37	1061	335
38	1084	305
39	1106	276
40	1142	250
41	1165	221
42	1187	193
43	1208	164
44	1227	136
45	1246	108
46	1265	80
47	1286	53
48	1324	27
49	1356	0
